grid_weight	n_clusters	composite_score
0.0	5	0.3892530495716072
0.25	5	0.3786764152815973
0.5	5	0.4171903082672762
0.75	5	0.4559828335109781
1.0	5	0.3994318803165614
1.25	5	0.8183395177341947
1.5	5	0.4472240063140294
0.0	6	0.2948935420406758
0.25	6	0.3268948917346935
0.5	6	0.2615349178426446
0.75	6	0.3374425276181712
1.0	6	0.4275791993840737
1.25	6	0.3826504185002786
1.5	6	0.3964969429592599
0.0	7	0.4087718335324203
0.25	7	0.4087718335324203
0.5	7	0.2160304348553754
0.75	7	0.3324253871946064
1.0	7	0.375198943991236
1.25	7	0.3535242790485958
1.5	7	0.3431872588865994
0.0	8	0.2257434585703282
0.25	8	0.2625984525026126
0.5	8	0.0977608759914651
0.75	8	0.271087861272085
1.0	8	0.3060362787912684
1.25	8	0.3147039794284159
1.5	8	0.4121327080192216
0.0	9	0.1830211161700196
0.25	9	0.1679947411963414
0.5	9	0.1627953592410509
0.75	9	0.179469964509482
1.0	9	0.3468430700042307
1.25	9	0.3155447788164331
1.5	9	0.2904949318513403
0.0	10	0.2097615749249096
0.25	10	0.1392315291605415
0.5	10	0.1331410357502765
0.75	10	0.12334635200742
1.0	10	0.3063439802216468
1.25	10	0.3496544376342421
1.5	10	0.3315618248873112
0.0	11	0.2057709998853417
0.25	11	0.2232653323772426
0.5	11	0.2030303307379621
0.75	11	0.2093049940440479
1.0	11	0.2790486236096656
1.25	11	0.3082333402615965
1.5	11	0.3280557615825135
