lon	lat
-0.249373	51.6560543
-0.2497357	51.6561676
-0.2498713	51.6560654
-0.2499779	51.6560355
-0.2501105	51.6560473
-0.2502775	51.6561388
-0.250409	51.6561048
-0.2504353	51.6560971
-0.2504837	51.6560772
-0.2506075	51.6560539
-0.2508351	51.6559268
-0.2510624	51.6558061
-0.2511781	51.6557296
-0.2512322	51.6556782
-0.2512752	51.6555359
-0.2512775	51.6555144
-0.2512055	51.6553182
-0.2512813	51.6552662
-0.251357	51.6552143
-0.2511705	51.655064
-0.2510723	51.6549862
-0.250916	51.6548787
-0.2508161	51.6548061
-0.2507567	51.654771
-0.2505926	51.6547137
-0.2503777	51.6546656
-0.249881	51.6546114
-0.2504451	51.6520876
-0.2508893	51.6502365
-0.2510788	51.649448
-0.2512171	51.6489321
-0.2512967	51.6487031
-0.2514041	51.6483926
-0.2514186	51.6483533
-0.2515816	51.6479493
-0.2517653	51.6474961
-0.2519006	51.6472103
-0.2520714	51.6469026
-0.2522753	51.6465613
-0.2525835	51.6461406
-0.2529906	51.6456251
-0.2536935	51.644712
-0.2540695	51.6441781
-0.2544397	51.6437602
-0.2545394	51.6436891
-0.2546214	51.6436461
-0.2547665	51.6436049
-0.254943	51.6435548
-0.2553802	51.6434305
-0.2554445	51.6433389
-0.2554827	51.6432846
-0.2555117	51.6432419
-0.2561961	51.6434885
-0.2564926	51.6431422
-0.2569102	51.6425801
-0.257268	51.6419559
-0.2573568	51.6418287
-0.2575078	51.6418831
-0.257615	51.6419144
-0.2577282	51.6419394
-0.257908	51.6419636
-0.258407	51.6419908
-0.2584151	51.6420827
-0.2587605	51.6421175
-0.2589387	51.6421444
-0.2593159	51.6422201
-0.2594004	51.6422412
-0.2597555	51.6423291
-0.260048	51.6423911
-0.2601781	51.6424254
-0.260281	51.6424584
-0.2604731	51.6425358
-0.2607368	51.6426701
-0.2608705	51.6427639
-0.2609136	51.6428076
-0.2609547	51.6428658
-0.2610362	51.6430424
-0.2610702	51.6430977
-0.2611872	51.6432496
-0.261243	51.6433395
-0.261265	51.6434072
-0.2612724	51.6435916
-0.2612939	51.6436721
-0.2613143	51.6437056
-0.2613614	51.6437585
-0.2615139	51.6438911
-0.2616287	51.643989
-0.2617258	51.644057
-0.2618435	51.6441154
-0.2620457	51.6441939
-0.2622216	51.6442811
-0.2624619	51.6444222
-0.2626873	51.6445765
-0.2627792	51.6446292
-0.2629694	51.6447192
-0.2631247	51.6447782
-0.2632291	51.6448094
-0.2632962	51.6448302
-0.2640575	51.6437813
-0.2642506	51.6438327
-0.2643829	51.6436242
-0.2644739	51.643702
-0.2645327	51.6437514
-0.2645728	51.6437997
-0.2646351	51.643833
-0.2646758	51.6438632
-0.2647491	51.6439146
-0.2648189	51.6439022
-0.2652351	51.6440172
-0.265555	51.6440417
-0.2667912	51.6441076
-0.2683699	51.6438306
-0.2683657	51.6437891
-0.2684056	51.6436143
-0.2684143	51.643574
-0.2684221	51.6434842
-0.2684282	51.6432514
-0.2684126	51.6430524
-0.2683326	51.6427599
-0.2682704	51.6423831
-0.2688055	51.6422984
-0.269435	51.6422394
-0.2694613	51.6422694
-0.2697458	51.6421612
-0.2700609	51.642084
-0.2706473	51.6420576
-0.271126	51.6420475
-0.2715554	51.6420844
-0.2719462	51.6421037
-0.2728903	51.642096
-0.2728782	51.6419592
-0.2729203	51.6417628
-0.2730876	51.6414317
-0.2731289	51.6412551
-0.2731458	51.6411906
-0.2731767	51.6410607
-0.2733789	51.6407984
-0.2735639	51.6404567
-0.2737244	51.6402621
-0.2739112	51.6398746
-0.2742001	51.6393043
-0.2741837	51.6390918
-0.2741742	51.6389991
-0.2741645	51.6389117
-0.2739851	51.6388426
-0.2737454	51.6387607
-0.2737372	51.6386707
-0.2740193	51.6387
-0.2747506	51.6387377
-0.2751212	51.6387594
-0.2755133	51.638784
-0.2759055	51.6388078
-0.2764987	51.6388651
-0.276761	51.6387718
-0.2770105	51.6386694
-0.2773461	51.638588
-0.2777976	51.638492
-0.2779638	51.6384549
-0.2782436	51.6383934
-0.2786365	51.63832
-0.2790419	51.6382999
-0.2794185	51.6382794
-0.280051	51.6382904
-0.2804304	51.6383095
-0.2805474	51.6383094
-0.2814147	51.6383428
-0.2829359	51.6380134
-0.283898	51.6377919
-0.2842825	51.6375996
-0.2846504	51.6374234
-0.2850807	51.6371258
-0.2851957	51.6370644
-0.2855239	51.6369452
-0.2860158	51.6368553
-0.2865058	51.6367761
