lon	lat
-0.1840108	51.6480983
-0.1751433	51.6471961
-0.1797826086956521	51.64304347826087
-0.1710058	51.6428851
-0.1889130434782608	51.65478260869565
-0.221255	51.5859258
-0.2262832	51.5820794
-0.1927777	51.6495882
-0.1736806	51.6353536
-0.2303195	51.5869043
-0.2163043478260869	51.59021739130435
-0.2071739130434782	51.59021739130435
-0.2250267	51.5910129
-0.1889130434782608	51.64304347826087
-0.2129553	51.5856811
-0.1980434782608695	51.64304347826087
-0.2071739130434782	51.65478260869565
-0.1819105	51.6366259
-0.2071739130434782	51.64891304347826
-0.1706521739130435	51.61369565217391
-0.180721	51.6531191
-0.1706521739130435	51.619565217391305
-0.1797826086956521	51.60782608695652
-0.2163043478260869	51.578478260869566
-0.1654142	51.6294791
-0.2071739130434782	51.578478260869566
-0.1715251	51.6074072
-0.2351938	51.5928568
-0.1822442	51.6022021
-0.2380687	51.5847306
-0.2399331	51.6007384
-0.1611673	51.6365217
-0.1642433	51.6094374
-0.191842	51.5967495
-0.2325069	51.598236
-0.1620306	51.6416102
-0.1844566	51.5947388
-0.2264755	51.5764255
-0.190177	51.602896
-0.1984028	51.5931545
-0.1743136	51.6011865
-0.2469965	51.6037211
-0.1568767	51.6269592
-0.1786535	51.6134585
-0.1590754	51.6137719
-0.1731128	51.6281776
-0.2421767	51.5959541
-0.1974783	51.5819199
-0.2358706	51.5795436
-0.2185674	51.5949619
-0.1980434782608695	51.65478260869565
-0.243695652173913	51.59021739130435
-0.1755334	51.5956586
-0.1537359	51.6193117
-0.1828305	51.5857847
-0.2337799	51.6038815
-0.1683749	51.6519476
-0.2514544	51.6090948
-0.249413	51.5987651
-0.1789676	51.6188512
-0.2125667	51.5739096
-0.2421754	51.6087616
-0.150206	51.6239941
-0.2024184	51.6023069
-0.1556252	51.6068365
-0.1514928	51.6315688
-0.1510477	51.6135941
-0.1999411	51.5870162
-0.1980434782608695	51.66065217391304
-0.1872002	51.6114923
-0.2232126	51.5717531
-0.2609308	51.6085575
-0.2237716	51.6023121
-0.1880014	51.6333671
-0.2312485	51.6087264
-0.2467911	51.6144084
-0.2460542	51.5823621
-0.2592674	51.616231
-0.1972858	51.5758385
-0.2617589	51.60311
-0.2547818	51.5944648
-0.1674435	51.5946888
-0.2352333	51.5745053
-0.2009265	51.6142616
-0.2637704	51.6303116
-0.2690799	51.6229617
-0.1868915	51.6228745
-0.2038799	51.567541
-0.1897056	51.5799607
-0.1494227	51.6365273
-0.1744298	51.5886788
-0.1474797	51.6091143
-0.2373997	51.6140191
-0.2168179	51.6503922
-0.1546049	51.6437778
-0.1918439	51.6187106
-0.2096942	51.6073833
-0.1778425	51.6583859
-0.2501232	51.5866286
-0.2122423	51.6419954
-0.200007	51.5623979
-0.1438734	51.617656
-0.2693566	51.6065681
-0.2564201	51.6218057
-0.2101876	51.5631437
-0.2036718	51.6350666
-0.2401494	51.6207198
-0.1432547	51.6318981
-0.196964	51.6298014
-0.1604081	51.653111
-0.1941798	51.5699401
-0.2748592	51.615077
-0.2178843	51.613243
-0.1899254	51.6633461
-0.2210792	51.6425184
-0.220661	51.5619152
-0.2319649	51.6218657
-0.2150553	51.6594991
-0.1476649	51.6039782
-0.2557597	51.6270636
-0.2421667	51.6271459
-0.1659376	51.5881892
-0.1513046	51.5981455
-0.216933	51.6201971
-0.1441378	51.6402564
-0.2536453	51.5807203
-0.2058526	51.5582349
-0.2776051	51.6102198
-0.2916479	51.6214934
-0.2538316	51.6427435
-0.2800881	51.6222767
-0.2337483	51.6471298
-0.1992315	51.6667963
-0.2149978	51.5576415
-0.1840673	51.5677158
-0.2420627	51.6420634
-0.1344397	51.6307699
-0.1755817	51.5728378
-0.2791723	51.6301691
-0.2683477	51.6358005
